activity_daily_movement,activity_high,activity_inactive,activity_score,activity_score_meet_daily_targets,activity_score_move_every_hour,activity_steps,activity_total
16752,10,381,74,100,100,16892,612
14335,10,396,74,100,100,14483,534
14695,9,404,74,100,100,14605,593
14039,9,399,74,100,100,13855,548
14230,10,417,74,100,100,13979,537
9967,8,409,84,100,100,10442,440
12149,5,400,74,100,100,12062,456
12604,4,387,84,100,100,12510,489
11909,2,396,84,100,100,11454,393
14513,7,382,74,100,100,14512,511
15502,5,349,75,100,100,16115,582
14322,13,390,74,100,100,14554,562
10147,3,422,83,100,100,10446,440
10249,6,434,84,100,100,10717,499
9755,4,439,83,100,100,10217,376
13202,6,431,83,100,100,14227,588
12482,2,438,83,100,100,12592,495
13010,7,336,84,100,100,13630,555
12310,11,408,74,100,100,12426,468
15384,0,281,75,100,100,16448,658
16083,4,353,75,100,100,16719,629
8966,6,565,95,95,100,8785,329
4729,1,396,75,43,100,5654,268
11121,0,475,96,95,100,14192,529
6799,0,516,91,78,100,8829,315
13329,1,296,91,78,100,16362,615
5354,0,347,87,78,100,6811,263
14295,1,409,81,78,100,17416,711
16951,0,356,83,78,95,19498,577
10891,0,266,88,95,100,12907,449
13462,0,310,88,95,100,14486,562
10621,1,360,88,100,100,13652,510
5654,0,446,85,100,100,6951,210
11384,0,351,87,100,100,14840,580
7222,0,290,87,100,100,9131,333
13466,0,301,82,100,100,16365,558
3447,0,255,81,100,100,4633,179
7914,0,514,76,95,100,10332,438
28752,82,344,90,95,78,28067,594
9084,0,339,92,95,100,11755,417
19100,15,401,95,95,95,21159,567
9436,0,289,95,95,100,11942,399
4723,0,304,90,78,100,5934,194
10026,0,443,93,95,100,13141,461
16072,29,405,98,100,95,17728,414
10244,0,410,96,100,100,13192,414
4471,0,475,92,95,95,6127,231
15009,0,359,91,95,100,17857,520
4225,0,232,86,78,100,4886,175
10266,0,335,87,95,100,12699,476
3198,0,192,80,78,100,4191,164
10013,0,226,76,78,100,12777,404
5113,0,245,71,60,100,6082,177
5085,0,247,71,60,100,6559,247
16064,6,307,83,78,100,18172,521
13530,1,374,88,78,100,16120,421
26654,42,376,93,78,95,28585,563
11712,0,401,97,95,100,13760,491
11044,1,330,98,95,100,12743,467
11670,2,598,92,100,78,13226,412
6761,0,260,95,95,100,8040,265
17305,2,405,95,100,95,19729,617
4178,0,471,84,95,95,4953,182
15249,0,446,81,95,95,17803,582
12258,1,470,81,95,95,14186,427
17440,4,364,85,95,100,19571,620
7938,0,182,86,95,100,9859,347
18231,0,395,87,100,100,20889,663
6742,1,282,87,100,100,8083,277
13808,0,350,86,100,100,16275,541
7537,0,339,85,100,100,8491,312
19715,0,249,86,100,100,22006,659
6238,2,279,85,100,100,7773,281
14389,0,357,85,100,100,17711,623
8120,1,489,81,100,78,9076,251
15826,0,260,87,100,100,18646,577
6531,0,251,85,100,100,7455,229
16449,1,394,86,100,100,18696,622
8338,1,268,86,100,100,9288,348
16562,1,385,86,100,95,19304,666
8379,0,260,85,100,100,9371,344
16868,1,371,85,100,100,19584,676
7807,0,289,84,100,100,9189,327
19967,2,323,93,100,100,22531,559
4920,0,60,90,95,100,5702,167
8904,0,494,93,95,100,11802,354
6441,1,534,89,95,100,8572,371
10243,0,648,92,95,95,13135,339
9728,0,538,96,100,100,12990,279
7506,0,490,97,100,100,10197,370
3915,0,538,95,95,100,5318,242
6882,1,506,97,100,100,8820,302
11708,1,588,96,100,100,15376,436
9366,0,557,96,100,95,12107,331
7647,0,562,95,100,100,8940,338
8910,0,573,95,95,100,10701,430
7464,1,579,96,100,100,8833,364
5040,0,691,90,95,100,6597,292
6926,1,565,93,95,100,8491,370
4208,0,584,94,95,100,4900,206
7754,1,535,91,95,100,9260,368
5556,2,522,94,95,100,7055,292
5504,0,244,97,95,100,6899,291
6631,0,621,90,95,100,8280,297
8162,1,551,93,95,100,10755,359
4521,2,449,96,95,100,5930,264
7350,0,507,96,100,100,9323,314
10113,0,533,96,100,100,12758,431
7915,2,566,94,100,95,10345,356
10285,3,607,92,100,100,13312,344
6845,0,541,93,100,100,8932,310
4226,0,596,95,100,100,5662,262
